B.E Chemical,B.E Civil,B.E Computer Science,B.E Electrical & Electronic,B.E Electronics & Communication,B.E Electronics & Instrumentation,B.E Mechanical,B.Pharm,M.Sc. Biological Sciences,M.Sc. Chemistry,M. Sc. Economics,M.Sc. Mathematics,M. Sc. Physics,,
CHEMICAL PROCESS CALCULA,MECHANICS OF SOLIDS,"LOGIC IN COMPUTER SC
",ELECTRICAL MACHINES,ELECTRICAL MACHINES,ELECTRICAL MACHINES,ENVIRONMENTAL STUDIES,PHARMACEUTICAL ANALYSIS,BIOLOGICAL CHEMISTRY,PHYSICAL CHEMISTRY I,ECONOMETRIC METHODS,OPTIMIZATION,CLASSICAL MECHANICS,,
ENGINEERING CHEMISTRY,FLUID MECHANICS,DISCR STRUC FOR COMP SCI,ELECTROMAGNETIC THEO,ELECTROMAGNETIC THEO,ELECTROMAGNETIC THEO,MECHANICS OF SOLIDS,"ANATOMY, PHYSIOLOGY & HYGIENE",CELL BIOLOGY,ORGANIC CHEMISTRY I,FUNDA OF FIN AND ACCOUNT,DISCRETE MATHEMATICS,ELECTROMAGNETIC THEO I,,
HEAT TRANSFER,SURVEYING,"DATA STRUCTURES & ALGO
",DIGITAL DESIGN,DIGITAL DESIGN,DIGITAL DESIGN,MATERIALS SCIENCE & ENGG,PHARMACEUTICAL CHEMISTRY,MICROBIOLOGY,ELECTROMAGNETIC THEORY I,MICROECONOMICS,MATHEMATICAL METHODS,OPTICS,,
NUM METHOD FOR CHEM ENGG,ANALYSIS OF STRUCTURES,OBJECT ORIENTED PROG,MICROPROC & INTERFACING,MICROPROC & INTERFACING,MICROPROC & INTERFACING,APPLIED THERMODYNAMICS,PHARMA FORMUL & BIOPHARM,INTEGRATED BIOLOGY,INORGANIC CHEMISTRY I,MACROECONOMICS,ALGEBRA I,ELECTROMAGNETIC THEO II,,
FLUID MECHANICS,CIVIL ENGINEERING MATERIALS,DIGITAL DESIGN,ELECTRONIC DEVICES,ELECTRONIC DEVICES,ELECTRONIC DEVICES,ADV MECHANICS OF SOLIDS,BIOLOGICAL CHEMISTRY,ENVIRONMENTAL STUDIES,PHYSICAL CHEMISTRY II,MATHEMATIC & STAT METHOD,OPERATIONS RESEARCH,ELEC MAGNET & OPTICS LAB,,
MATERIAL SCIENCE & ENGG,CONSTRUCTION PLAN & TECH,MICROPROC & INTERFACING,CONTROL SYSTEMS,CONTROL SYSTEMS,CONTROL SYSTEMS,MANUFACTURING PROCESSES,MICROBIOLOGY,INTRO TO BIOINFORMATICS,CHEMICAL EXPER I,ECONOMICS OF GROWTH & DEVELOPMENT,ENVIRONMENTAL STUDIES,QUANTUM MECHANICS I,,
SEPARATION PROCESSES I,SOIL MECHANICS,DATABASE SYSTEMS,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,HEAT TRANSFER,ENVIRONMENTAL STUDIES,GENETICS,INORGANIC CHEMISTRY II,ECONOMIC ENV OF BUSINESS,GRAPHS AND NETWORKS,MATHEMATICAL METHODS OF PHYSICS,,
ENVIRONMENTAL STUDIES,HIGHWAY ENGINEERING,ENVIRONMENTAL STUDIES,MICROELECTRONIC CIRCUITS,MICROELECTRONIC CIRCUITS,MICROELECTRONIC CIRCUITS,MECHANISMS AND MACHINES,PHYSICAL PHARMACY,INSTRU METHODS OF ANAL,ORGANIC CHEMISTRY II,ENVIRONMENTAL STUDIES,MEASURE & INTEGRATION,MODERN PHYSICS LABORATORY,,
CHEMICAL ENGG LAB I,ENVIRONMENTAL STUDIES,THEORY OF COMPUTATION,ENVIRONMENTAL STUDIES,ENVIRONMENTAL STUDIES,ENVIRONMENTAL STUDIES,DESIGN OF MACHINE ELEMENTS,PHARMACOLOGY I,RECOMBINANT DNA TECH,PHYSICAL CHEMISTRY III,INTERNATIONAL ECONOMICS,INTRODUCTION TO TOPOLOGY,QUANTUM MECHANICS II,,
CHEMICAL ENGG LAB II,DESIGN OF REINFORCED CONCRETE,OPERATING SYSTEMS,COMMUNICATION SYSTEMS,COMMUNICATION SYSTEMS,ELECTRO INST & INST TECH,COMPUTER-AIDED DESIGN,PHARMACOLOGY II,DEVELOPMENTAL BIOLOGY,ENVIRONMENTAL STUDIES,MONEY BANK & FIN MARKETS,ORDINARY DIFF EQUATIONS,SOLID STATE PHYSICS,,
SEPARATION PROCESSES II,HYDRAULIC ENGINEERING,COMPILER CONSTRUCTION,ANALOG ELECTRONICS,ANALOG ELECTRONICS,ANALOG ELECTRONICS,ADVANCED MECHANICS OF SOLIDS,MEDICINAL CHEMISTRY I,IMMUNOLOGY,INSTRU METHODS OF ANAL,ISSUES IN ECONOMIC DEV,INTRO TO FUNCTIONAL ANAL,STATISTICAL MECHANICS,,
PROCESS DYN & CONTROL,FOUNDATION ENGINEERING,PRINCIPLES OF PROGG LANG,OPTIMIZATION,EM FIELDS & MICRO ENGG,POWER ELECTRONICS,VIBRATIONS AND CONTROL,MEDICINAL CHEMISTRY II,PLANT PHYSIOLOGY,CHEMICAL EXPER II,PUBLIC FIN THEO & POLICY,NUMERICAL ANALYSIS,ATOMIC & MOLECULAR PHY,,
KINETICS & REACTOR DESIG,WATER & WASTEWATER TREAT,"DESIGN & ANAL OF ALGO
",POWER ELECTRONICS,COMMUNICATION NETWORKS,TRANSD & MEASUREMENT TEC,MANUFACTURING MANAGEMENT,INSTRU METHODS OF ANAL,BIOPHYSICS,ORGANIC CHEMISTRY IV,APPLIED ECONOMETRICS,DIFFERENTIAL GEOMETRY,COMPUTATIONAL PHYSICS,,
PROCESS DES PRINCIPLES I,ENGINEERING HYDROLOGY,COMPUTER ARCHITECTURE,POWER SYSTEMS,INFO THEORY & CODING,INDUS INSTRUMENT & CONT,ENGINEERING OPTIMIZATION,FORENSIC PHARMACY,ANIMAL PHYSIOLOGY,ORGANIC CHEMISTRY III,ECONOMIC ANAL OF PUB POL,PARTIAL DIFF EQUATIONS,NUCLEAR & PARTICLE PHY,,
PROCESS DES PRINCIPLES II,DES OF STEEL STRUCTURES,COMPUTER NETWORKS,ENGINEERING OPTIMIZATION,DIGITAL SIGNAL PROCESS,ANALOG & DIGIT VLSI DES,"ENGINES, MOTORS, AND MOBILITY",NATURAL DRUGS,,INORGANIC CHEMISTRY III,,,ADVANCED PHYSICS LAB,,
,,,ANALOG & DIGIT VLSI DES,,,PRIMEMOVERS & FLUID MACH,,,PHYSICAL CHEMISTRY IV,,,,,
,,,ELECTROMAGNETIC THEORY,ELECTROMAGNETIC THEORY,ELECTROMAGNETIC THEORY,,,,,,,,,
