Row Labels,Average of course_grade
281,8.058823529
282,6.695652174
283,8.6875
284,8.0625
285,8.3
286,8.9375
287,5.829787234
288,8.595744681
289,8.916666667
290,6.7
291,8.176470588
292,7.638297872
293,8.166666667
294,7.6
295,7.571428571
296,8.744680851
297,7.319148936
298,7.583333333
299,9.520833333
300,7.901639344
301,9.260869565
302,7.92
303,5.755102041
304,6.489795918
305,8.340425532
306,8.081632653
307,6.428571429
308,5.869565217
309,7.897959184
310,8.346938776
311,7.125
312,8.425531915
313,7.630434783
314,8.541666667
315,7.269230769
316,7.395833333
317,9.404255319
318,8.16
319,6.58
320,8.328125
321,7.274509804
322,6.816326531
323,6.652173913
324,7.86
325,8.531914894
326,7.270833333
327,9.255319149
328,7.557692308
329,8.117647059
330,8.319148936
331,9.081632653
332,8.849056604
333,7.326086957
334,8.204081633
335,8.173076923
336,8.775510204
337,6.06122449
338,8.117647059
339,7.583333333
340,7.921875
341,8.5
342,9.215686275
343,8.617021277
344,8.125
345,8.064516129
346,6.659574468
347,7.320754717
348,9.14
349,7.212765957
350,7.510204082
351,8.6
352,6.723404255
353,5.051724138
354,7.102040816
355,7
356,7.14893617
357,8.489361702
358,7.745098039
359,7.916666667
360,7.224489796
361,7
362,7.568627451
363,8.361702128
364,8.936170213
365,7.38
366,7.705882353
367,5.647058824
368,6.934782609
369,7.529411765
370,7.489795918
371,7.076923077
372,8.72
373,7.391304348
374,8.36
375,7.615384615
376,7.681818182
377,6.229166667
378,6.882352941
379,7.480769231
380,5.921568627
381,7.591836735
382,8.25
383,8.956521739
384,7.723404255
385,6.449275362
386,8.274509804
387,6.581818182
388,7.565217391
389,6.333333333
390,7.4375
391,7.346153846
392,6.744680851
393,7.76
394,7.698412698
395,7.333333333
396,6.296296296
397,7.893617021
398,7.87755102
399,7.1
400,6.42
401,6.28
402,5.546666667
403,9.708333333
404,7
405,7.833333333
406,7.884615385
407,7.387755102
408,7.333333333
409,9.434782609
410,6.9
411,9.291666667
412,7.574468085
413,7
414,6.88
415,8.551020408
416,8.08
417,7.888888889
418,8.42
419,6.787234043
420,7.421875
421,8.893617021
422,7.645833333
423,7.102040816
424,8.875
425,7.941176471
426,8.083333333
427,8.043478261
428,5.896551724
429,8.282608696
430,7.455882353
431,7.409090909
432,7.980392157
433,7.933333333
434,6.854166667
435,7.259259259
436,8.645833333
437,8.12
438,7.979166667
439,7.114285714
440,6.484375
441,7.983333333
442,6.339285714
443,8.322580645
444,6.380952381
445,7.142857143
446,8.229166667
447,6.962264151
448,7.97826087
449,8.183673469
450,7
451,7.866666667
452,7.492307692
453,5.378787879
454,7.847826087
455,8.541666667
456,8.979166667
457,7
458,7.76
459,7.979166667
460,8.104166667
461,7.609375
462,7.666666667
463,8.9375
464,8.725806452
465,7.638297872
466,6
467,8.617021277
468,6.959183673
469,7.901960784
470,7.269230769
471,7.770833333
472,7.309090909
473,6.555555556
474,8.760869565
475,8.037735849
476,4.483333333
477,9.081632653
478,8.194029851
479,7.12
480,8.081632653
481,7.727272727
482,7.659574468
483,8.130434783
484,6.645833333
485,7.734693878
486,6.452830189
487,7.7
488,4.965517241
489,7.85106383
490,6.673076923
491,8.551020408
492,8.204081633
493,7.235294118
494,9
495,7.557692308
496,8.203703704
497,7.936170213
498,6.326530612
499,8.104166667
500,7.9375
501,7
502,7
503,8.020833333
504,6.85106383
505,7.183673469
506,8.317460317
507,7
508,7.854166667
509,7.295081967
510,8.395833333
511,6.886792453
512,7.693877551
513,5.979591837
514,8.857142857
515,9
516,6.114754098
517,9.22
518,8.215686275
519,7.5625
520,8.25
521,7
522,7.161764706
523,8
524,7.156862745
525,7.31372549
526,7.5
527,7
528,8.347826087
529,6.308823529
530,6.75
531,7.936170213
532,6.787234043
533,6.74
534,6.918367347
535,7.131147541
536,7.468085106
537,6.568627451
538,8.020408163
539,7.634920635
540,6.319148936
541,8.895833333
542,6.854166667
543,8.208333333
544,6.82
545,5.14
546,7.15942029
547,7.31884058
